Date,EUR
2003. november 17.,258.56
2003. november 18.,257.06
2003. november 19.,258.29
2003. november 20.,258.19
2003. november 21.,257.66
2003. november 24.,258.2
2003. november 25.,262.06
2003. november 26.,261.87
2003. november 27.,262.95
2003. november 28.,265.03
2003. december 1.,261.87
2003. december 2.,272.03
2003. december 3.,270.68
2003. december 4.,269.93
2003. december 5.,268.38
2003. december 8.,268.3
2003. december 9.,268.09
2003. december 10.,264.5
2003. december 11.,263.02
2003. december 12.,262.92
2003. december 15.,263.33
2003. december 16.,264.18
2003. december 17.,264.64
2003. december 18.,263.63
2003. december 19.,262.23
2003. december 22.,262.64
2003. december 23.,261.89
2003. december 29.,260.7
2003. december 30.,261.63
2003. december 31.,262.23
2004. january 5.,261.83
2004. january 6.,259.4
2004. january 7.,262.1
2004. january 8.,263.55
2004. january 9.,269.43
2004. january 12.,270
2004. january 13.,269.17
2004. january 14.,266.57
2004. january 15.,266.19
2004. january 16.,267.13
2004. january 19.,264.81
2004. january 20.,264.25
2004. january 21.,264.08
2004. january 22.,263.61
2004. january 23.,263.13
2004. january 26.,262.4
2004. january 27.,262.43
2004. january 28.,263.29
2004. january 29.,263.52
2004. january 30.,265.05
2004. february 2.,264.27
2004. february 3.,265.93
2004. february 4.,264.81
2004. february 5.,265.82
2004. february 6.,268.47
2004. february 9.,267.3
2004. february 10.,264.72
2004. february 11.,263.98
2004. february 12.,264.25
2004. february 13.,263.01
2004. february 16.,263.08
2004. february 17.,263.29
2004. february 18.,262.67
2004. february 19.,262.48
2004. february 20.,260.97
2004. february 23.,261.33
2004. february 24.,258.9
2004. february 25.,258.33
2004. february 26.,258.02
2004. february 27.,257.86
2004. march 1.,257.21
2004. march 2.,256.32
2004. march 3.,256.49
2004. march 4.,255.32
2004. march 5.,255.48
2004. march 8.,254.46
2004. march 9.,254.48
2004. march 10.,253.79
2004. march 11.,252.74
2004. march 12.,252.7
2004. march 16.,253.81
2004. march 17.,254.88
2004. march 18.,255.18
2004. march 19.,253.62
2004. march 22.,253.17
2004. march 23.,252.22
2004. march 24.,251.62
2004. march 25.,250.08
2004. march 26.,250.65
2004. march 29.,250.63
2004. march 30.,250.09
2004. march 31.,248.92
2004. april 1.,249.2
2004. april 2.,249.59
2004. april 5.,248.79
2004. april 6.,247.68
